Country/Area,Item1,Purpose,Year,Overnight Stays
China,Nagasaki,Overall,2020,"10,770"
China,Nagasaki,Overall,2021,"1,200"
China,Nagasaki,Overall,2022,"3,760"
China,Nagasaki,Overall,2023,"22,260"
China,Nara,Overall,2019,"237,070"
China,Nara,Overall,2020,"21,090"
China,Nara,Overall,2021,780
China,Nara,Overall,2022,"2,110"
China,Nara,Overall,2023,"48,560"
China,Niigata,Overall,2019,"79,030"
China,Niigata,Overall,2020,"23,630"
China,Niigata,Overall,2021,"2,000"
China,Niigata,Overall,2022,"6,260"
China,Niigata,Overall,2023,"30,610"
China,Oita,Overall,2019,"99,790"
China,Oita,Overall,2020,"13,040"
China,Oita,Overall,2021,"1,170"
China,Oita,Overall,2022,"2,430"
China,Oita,Overall,2023,"51,660"
China,Okayama,Overall,2019,"75,630"
China,Okayama,Overall,2020,"8,910"
China,Okayama,Overall,2021,"2,840"
China,Okayama,Overall,2022,"3,500"
China,Okayama,Overall,2023,"31,660"
China,Okinawa,Overall,2019,"1,147,310"
China,Okinawa,Overall,2020,"161,420"
China,Okinawa,Overall,2021,"6,180"
China,Okinawa,Overall,2022,"11,810"
China,Okinawa,Overall,2023,"139,770"
China,Osaka,Overall,2019,"6,193,830"
China,Osaka,Overall,2020,"790,120"
China,Osaka,Overall,2021,"25,550"
China,Osaka,Overall,2022,"139,260"
China,Osaka,Overall,2023,"2,334,820"
China,Saga,Overall,2019,"77,510"
China,Saga,Overall,2020,"10,790"
China,Saga,Overall,2021,220
China,Saga,Overall,2022,"1,390"
China,Saga,Overall,2023,"15,200"
China,Saitama,Overall,2019,"56,280"
China,Saitama,Overall,2020,"6,760"
China,Saitama,Overall,2021,"2,370"
China,Saitama,Overall,2022,"4,990"
China,Saitama,Overall,2023,"22,680"
China,Shiga,Overall,2019,"112,680"
China,Shiga,Overall,2020,"11,490"
China,Shiga,Overall,2021,"2,960"
China,Shiga,Overall,2022,"3,770"
China,Shiga,Overall,2023,"27,230"
China,Shimane,Overall,2019,"8,410"
China,Shimane,Overall,2020,"1,240"
China,Shimane,Overall,2021,990
China,Shimane,Overall,2022,480
China,Shimane,Overall,2023,"6,460"
China,Shizuoka,Overall,2019,"1,491,470"
China,Shizuoka,Overall,2020,"117,870"
China,Shizuoka,Overall,2021,"6,260"
China,Shizuoka,Overall,2022,"11,180"
China,Shizuoka,Overall,2023,"151,880"
China,Tochigi,Overall,2019,"42,800"
China,Tochigi,Overall,2020,"7,440"
China,Tochigi,Overall,2021,"2,910"
China,Tochigi,Overall,2022,"3,080"
China,Tochigi,Overall,2023,"28,950"
China,Tokushima,Overall,2019,"14,260"
China,Tokushima,Overall,2020,"1,940"
China,Tokushima,Overall,2021,350
China,Tokushima,Overall,2022,890
