Country/Area,Item1,Purpose,Year,Overnight Stays
Germany,Aichi,Overall,2022,"4,370"
Germany,Aichi,Overall,2023,"23,380"
Germany,Akita,Overall,2021,30
Germany,Akita,Overall,2022,130
Germany,Akita,Overall,2023,660
Germany,Aomori,Overall,2021,90
Germany,Aomori,Overall,2022,250
Germany,Aomori,Overall,2023,"2,230"
Germany,Chiba,Overall,2021,"4,120"
Germany,Chiba,Overall,2022,"6,870"
Germany,Chiba,Overall,2023,"20,440"
Germany,Ehime,Overall,2021,60
Germany,Ehime,Overall,2022,280
Germany,Ehime,Overall,2023,"2,700"
Germany,Fukui,Overall,2021,530
Germany,Fukui,Overall,2022,80
Germany,Fukui,Overall,2023,980
Germany,Fukuoka,Overall,2021,640
Germany,Fukuoka,Overall,2022,"3,530"
Germany,Fukuoka,Overall,2023,"19,390"
Germany,Fukushima,Overall,2021,290
Germany,Fukushima,Overall,2022,"1,200"
Germany,Fukushima,Overall,2023,"1,420"
Germany,Gifu,Overall,2021,60
Germany,Gifu,Overall,2022,"1,140"
Germany,Gifu,Overall,2023,"14,990"
Germany,Gunma,Overall,2021,80
Germany,Gunma,Overall,2022,360
Germany,Gunma,Overall,2023,"3,410"
Germany,Hiroshima,Overall,2021,110
Germany,Hiroshima,Overall,2022,"3,250"
Germany,Hiroshima,Overall,2023,"45,070"
Germany,Hokkaido,Overall,2021,"1,280"
Germany,Hokkaido,Overall,2022,"2,920"
Germany,Hokkaido,Overall,2023,"18,630"
Germany,Hyogo,Overall,2021,"1,010"
Germany,Hyogo,Overall,2022,"3,200"
Germany,Hyogo,Overall,2023,"17,370"
Germany,Ibaraki,Overall,2021,100
Germany,Ibaraki,Overall,2022,"2,450"
Germany,Ibaraki,Overall,2023,"8,750"
Germany,Ishikawa,Overall,2021,80
Germany,Ishikawa,Overall,2022,"1,150"
Germany,Ishikawa,Overall,2023,"20,380"
Germany,Iwate,Overall,2021,50
Germany,Iwate,Overall,2022,210
Germany,Iwate,Overall,2023,"1,670"
Germany,Kagawa,Overall,2021,90
Germany,Kagawa,Overall,2022,350
Germany,Kagawa,Overall,2023,"5,320"
Germany,Kagoshima,Overall,2021,40
Germany,Kagoshima,Overall,2022,590
Germany,Kagoshima,Overall,2023,"6,300"
Germany,Kanagawa,Overall,2021,"2,750"
Germany,Kanagawa,Overall,2022,"14,520"
Germany,Kanagawa,Overall,2023,"53,640"
Germany,Kochi,Overall,2021,10
Germany,Kochi,Overall,2022,100
Germany,Kochi,Overall,2023,990
Germany,Kumamoto,Overall,2021,60
Germany,Kumamoto,Overall,2022,830
Germany,Kumamoto,Overall,2023,"5,220"
Germany,Kyoto,Overall,2021,"1,130"
Germany,Kyoto,Overall,2022,"25,520"
Germany,Kyoto,Overall,2023,"240,590"
Germany,Mie,Overall,2021,100
Germany,Mie,Overall,2022,990
Germany,Mie,Overall,2023,"3,500"
Germany,Miyagi,Overall,2021,950
Germany,Miyagi,Overall,2022,890
Germany,Miyagi,Overall,2023,"5,400"
Germany,Miyazaki,Overall,2021,260
Germany,Miyazaki,Overall,2022,350
Germany,Miyazaki,Overall,2023,"1,110"
Germany,Nagano,Overall,2021,160
Germany,Nagano,Overall,2022,"1,970"
Germany,Nagano,Overall,2023,"24,120"
Germany,Nagasaki,Overall,2021,380
Germany,Nagasaki,Overall,2022,570
Germany,Nagasaki,Overall,2023,"5,250"
Germany,Nara,Overall,2021,40
Germany,Nara,Overall,2022,420
Germany,Nara,Overall,2023,"6,330"
Germany,Niigata,Overall,2021,40
Germany,Niigata,Overall,2022,550
Germany,Niigata,Overall,2023,"2,230"
Germany,Oita,Overall,2021,60
Germany,Oita,Overall,2022,820
Germany,Oita,Overall,2023,"4,650"
Germany,Okayama,Overall,2021,100
Germany,Okayama,Overall,2022,690
Germany,Okayama,Overall,2023,"5,540"
Germany,Okinawa,Overall,2021,950
Germany,Okinawa,Overall,2022,"1,950"
Germany,Okinawa,Overall,2023,"23,400"
Germany,Osaka,Overall,2021,"3,340"
Germany,Osaka,Overall,2022,"11,360"
Germany,Osaka,Overall,2023,"127,520"
Germany,Saga,Overall,2021,20
Germany,Saga,Overall,2022,90
Germany,Saga,Overall,2023,590
Germany,Saitama,Overall,2021,480
Germany,Saitama,Overall,2022,"1,420"
Germany,Saitama,Overall,2023,"3,470"
Germany,Shiga,Overall,2021,60
Germany,Shiga,Overall,2022,230
Germany,Shiga,Overall,2023,"2,120"
Germany,Shimane,Overall,2021,20
Germany,Shimane,Overall,2022,120
Germany,Shimane,Overall,2023,510
Germany,Shizuoka,Overall,2021,"1,730"
Germany,Shizuoka,Overall,2022,"1,870"
Germany,Shizuoka,Overall,2023,"11,220"
Germany,Tochigi,Overall,2021,180
Germany,Tochigi,Overall,2022,970
Germany,Tochigi,Overall,2023,"5,530"
